"Type","Abbreviation","Description"
"Enzymatic Activity","CAct","*Catalytic Activity"
"","CCnc","Catalytic Concentration"
"","CRto","Catalytic Ratio"
"","CCnt","*Catalytic Content"
"","CFr","*Catalytic Fraction"
"","CFr.DF","Decimal Catalytic Fraction"
"","CRat","Catalytic Rate"
"","RelCCnc","Relative Catalytic Concentration"
"","CSub","Catalytic Substance"
"Entitic","EntCat","*Entitic Catalytic Activity"
"","EntLen","Entitic Length"
"","EntLogNum","Logarithmic Entitic Number"
"","EntMass","Entitic Mass"
"","EntNum","*Entitic Number"
"","EntVol","*Entitic Volume"
"","EntSub","Entitic Substance"
"","EntSRto","Entitic Substance Ratio"
"Mass","Mass","Mass"
"","ArMass","Mass/Area"
"","MCnc","*Mass Concentration"
"","MCncSq","Mass Concentration Squared"
"","MCnt","Mass Content"
"","MDiff","Mass Difference"
"","MFr","*Mass Fraction"
"","MFr.DF","Mass Decimal Fraction"
"","MFrDiff","Mass Fraction Difference"
"","MRat","Mass Rate"
"","MRto","Mass Ratio"
"","MSCnc","Mass or Substance Concentration"
"","RelMCnc","*Relative Mass Concentration"
"","RelMRat","Relative Mass Rate"
"","ThrMCnc","*Threshold Mass Concentration"
"","MCncDiff","Difference in Mass Concentration"
"","MCPctDiff","Percent Difference in Mass Concentration"
"Substance (Moles/Milliequivalents)","RelSCnc","*Relative Substance Concentration"
"","Sub","*Substance Amount"
"","SCnc","*Substance Concentration"
"","SCncSq","Substance Concentration Squared"
"","SRto","*Substance Ratio"
"","SCnt","*Substance Content"
"","SFr","*Substance Fraction"
"","SFr.DF","Decimal Substance Fraction"
"","SRat","*Substance Rate"
"","RelSRat","Relative Substance Rate"
"","ThrSCnc","Threshold Substance Concentration"
"","SCncDiff","Difference in Substance Concentration"
"","LsCnc","Log Substance Concentration"
"Counts","Num","*Number"
"","Naric","Number Aeric (number per area)"
"","NCnc","*Number Concentration (count/vol)"
"","NCncRange","Number Concentration (count/vol) Range"
"","NCnt","Number Content = Count/Mass"
"","NumDiff","Number Difference"
"","NFr","*Number Fraction"
"","NFr.DF","Decimal Number Fraction"
"","NRat","Number=Count/Time"
"","NRto","Number Ratio"
"","LnRto","Log Number Ratio"
"","LnCnc","Log Number Concentration"
"Volumes","Vol","*Volume"
"","VCnt","*Volume Content"
"","VFr","*Volume Fraction"
"","VFr.DF","Volume Decimal Fraction"
"","VRat","*Volume Rate"
"","VRatCnt","Volume Rate Content"
"","VRatRto","Volume Rate Ratio"
"","VRto","*Volume Ratio"
"","RelVol","Relative Volume"
"","RelVRat","Relative Volume Rate"
"","ArVol","Volume/Area"
"","ArVRat","Volume Rate/Area"
"","VFrDiff","Difference in Volume Fraction"
"","VPctDiff","Percent Volume Difference"
"","VRtoPctDiff","Percent Volume Ratio Difference"
"Time","ClockTime","Clock Time"
"","Time","Time Duration"
"","TimeDif","Difference in Time Duration"
"","TimeFr","Time Fraction"
"","TRto","Time Ratio"
"","TQ2","Timing Quantity 2"
"","RelTime","*Relative Time"
"","Date","Date"
"","DateRange","Date Range"
"","DtTmRange","Date and Time Range"
"","TmElpot","Time electrical potential"
"","TmMCnc","Time mass concentration"
"","TmStp","Time Stamp—Date and Time"
"","TmStpRange","Time Stamp Range"
"","TmSCnc","Time substance concentration"
"Arbitrary","ACnc","Arbitrary Concentration"
"","ACnt","Arbitrary Content"
"","ThrACnc","Threshold Arbitrary Concentration"
"","ARat","Arbitrary Rate"
"","LaCnc","Log Arbitrary Concentration"
